"Month","Category Group/Category","Category Group","Category","Budgeted","Activity","Available"
"Apr 2019","Unplanned Expenses: Spending Money","Unplanned Expenses","Spending Money",£0.00,£0.00,£0.00
"Apr 2019","Unplanned Expenses: Eating Out / Take Out","Unplanned Expenses","Eating Out / Take Out",£0.00,£0.00,£0.00
"Apr 2019","To Use and Dispose: Lou's Birthday Clothes","To Use and Dispose","Lou's Birthday Clothes",£0.00,£0.00,£0.00
"Apr 2019","To Use and Dispose: Birthday Bike","To Use and Dispose","Birthday Bike",£0.00,£0.00,£0.00
"Apr 2019","Regular Expenses: Petrol","Regular Expenses","Petrol",£0.00,£0.00,£0.00
"Apr 2019","Regular Expenses: Weekly Food","Regular Expenses","Weekly Food",£0.00,£0.00,£0.00
"Apr 2019","Regular Expenses: Transportation","Regular Expenses","Transportation",£0.00,£0.00,£0.00
"Apr 2019","For Chloe: Babysitting","For Chloe","Babysitting",£0.00,£0.00,£0.00
"Apr 2019","For Chloe: Chloe Essentials","For Chloe","Chloe Essentials",£0.00,£0.00,£0.00
"Apr 2019","For Chloe: Chloe Clothes","For Chloe","Chloe Clothes",£0.00,£0.00,£0.00
"Apr 2019","For Chloe: Chloe Toys/Books","For Chloe","Chloe Toys/Books",£0.00,£0.00,£0.00
"Apr 2019","For Chloe: Chloe's Future","For Chloe","Chloe's Future",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Mortgage","Monthly Bills","Mortgage",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Mortgage Life Cover","Monthly Bills","Mortgage Life Cover",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Nursery/Childcare","Monthly Bills","Nursery/Childcare",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Energy","Monthly Bills","Energy",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Internet and TV","Monthly Bills","Internet and TV",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Council Tax","Monthly Bills","Council Tax",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Joe's Phone","Monthly Bills","Joe's Phone",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Lou's Phone","Monthly Bills","Lou's Phone",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Car Finance","Monthly Bills","Car Finance",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Entertainment","Monthly Bills","Entertainment",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Online Storage","Monthly Bills","Online Storage",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Home Security","Monthly Bills","Home Security",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Online Services","Monthly Bills","Online Services",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Giving","Monthly Bills","Giving",£0.00,£0.00,£0.00
"Apr 2019","Monthly Bills: Rent","Monthly Bills","Rent",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: Car Tax (Annual)","Off-Monthly Bills","Car Tax (Annual)",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: Car Breakdown (Annual)","Off-Monthly Bills","Car Breakdown (Annual)",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: Car Insurance (Annual)","Off-Monthly Bills","Car Insurance (Annual)",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: Car MOT (Annual)","Off-Monthly Bills","Car MOT (Annual)",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: Home Insurance (Annual)","Off-Monthly Bills","Home Insurance (Annual)",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: Factor Fees (3-5 months)","Off-Monthly Bills","Factor Fees (3-5 months)",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: TV License (Annual)","Off-Monthly Bills","TV License (Annual)",£0.00,£0.00,£0.00
"Apr 2019","Off-Monthly Bills: YNAB (Annual)","Off-Monthly Bills","YNAB (Annual)",£0.00,£0.00,£0.00
"Apr 2019","Recreation: Books","Recreation","Books",£0.00,£0.00,£0.00
"Apr 2019","Recreation: Crafts","Recreation","Crafts",£0.00,£0.00,£0.00
"Apr 2019","Recreation: Clothing","Recreation","Clothing",£0.00,£0.00,£0.00
"Apr 2019","Recreation: Cinema","Recreation","Cinema",£0.00,£0.00,£0.00
"Apr 2019","Recreation: Football","Recreation","Football",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: ⚠️ Emergency Buffer","Rainy Days","⚠️ Emergency Buffer",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: Cards/Presents","Rainy Days","Cards/Presents",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: Christmas 2022 Pot","Rainy Days","Christmas 2022 Pot",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: Chloe's Birthday","Rainy Days","Chloe's Birthday",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: Car Services","Rainy Days","Car Services",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: Trips","Rainy Days","Trips",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: New Glasses","Rainy Days","New Glasses",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: Dental","Rainy Days","Dental",£0.00,£0.00,£0.00
"Apr 2019","Rainy Days: Medical","Rainy Days","Medical",£0.00,£0.00,£0.00
"Apr 2019","House: Front Door Loan Repayment","House","Front Door Loan Repayment",£0.00,£0.00,£0.00
"Apr 2019","House: Living Room","House","Living Room",£0.00,£0.00,£0.00
"Apr 2019","House: Kitchen","House","Kitchen",£0.00,£0.00,£0.00
"Apr 2019","House: Chloe's Bedroom","House","Chloe's Bedroom",£0.00,£0.00,£0.00
"Apr 2019","House: Our Bedroom","House","Our Bedroom",£0.00,£0.00,£0.00
"Apr 2019","House: Bathroom","House","Bathroom",£0.00,£0.00,£0.00
"Apr 2019","House: Garden","House","Garden",£0.00,£0.00,£0.00
"Apr 2019","House: Upstairs Hall","House","Upstairs Hall",£0.00,£0.00,£0.00
"Apr 2019","House: Loft","House","Loft",£0.00,£0.00,£0.00
"Apr 2019","House: Study","House","Study",£0.00,£0.00,£0.00
"Apr 2019","House: Other","House","Other",£0.00,£0.00,£0.00
"Apr 2019","House: Services","House","Services",£0.00,£0.00,£0.00
"Apr 2019","House: House Pot","House","House Pot",£21413.45,£0.00,£21413.45
"Apr 2019","Saving Goals: New Laptop for Joe","Saving Goals","New Laptop for Joe",£0.00,£0.00,£0.00
"Apr 2019","Saving Goals: Family Holiday 2022","Saving Goals","Family Holiday 2022",£0.00,£0.00,£0.00
"Apr 2019","Saving Goals: BIG Holiday 2026ish","Saving Goals","BIG Holiday 2026ish",£0.00,£0.00,£0.00
"Apr 2019","Saving Goals: Back Extension","Saving Goals","Back Extension",£0.00,£0.00,£0.00
"Apr 2019","On Hold: Gaming Upgrade","On Hold","Gaming Upgrade",£0.00,£0.00,£0.00
"Apr 2019","Credit Card Payments: Halifax CC","Credit Card Payments","Halifax CC",£0.00,£0.00,£0.00
"Apr 2019","Credit Card Payments: Nectar CC","Credit Card Payments","Nectar CC",£0.00,£0.00,£0.00
"Apr 2019","Money Owed: Nana's Shoe Fund for Chloe","Money Owed","Nana's Shoe Fund for Chloe",£0.00,£0.00,£0.00
"Apr 2019","Money Owed: Relocation Expenses","Money Owed","Relocation Expenses",£0.00,£0.00,£0.00
"Apr 2019","Money Owed: Work Expenses","Money Owed","Work Expenses",£0.00,£0.00,£0.00
"Apr 2019","Money Owed: Owed To Us","Money Owed","Owed To Us",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lou's Future","Hidden Categories","Lou's Future",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lou's Birthday Fund 2020","Hidden Categories","Lou's Birthday Fund 2020",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: New Laptop for Lou","Hidden Categories","New Laptop for Lou",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Leaving Do","Hidden Categories","Leaving Do",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Water","Hidden Categories","Water",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: HCPC Fee","Hidden Categories","HCPC Fee",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: DBS Renewal Fee","Hidden Categories","DBS Renewal Fee",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Disney+ (Annual)","Hidden Categories","Disney+ (Annual)",£0.00,£0.00,£0.00
